dataset,experiment,n_segments,metric,n_seeds,acc,acc_sd,bwt,bwt_sd,acc_ratio_to_baseline,base_slice_ratio_final,merge_cost,merge_cost_source
EtthForecastDataset,adaptive_became_etth1_n3_s123,3,forecast/mse,1,0.512896,0.0,-0.06433,0.0,0.747228,0.961837,,
EtthForecastDataset,adaptive_became_etth1_n3_s42,3,forecast/mse,1,0.480936,0.0,-0.030619,0.0,0.820501,0.905705,,
EtthForecastDataset,adaptive_became_etth1_n3_s7,3,forecast/mse,1,0.432263,0.0,-0.038924,0.0,0.818859,0.989775,,
Etth2ForecastDataset,adaptive_became_etth2_n2_s123,2,forecast/mse,1,0.552394,0.0,-0.000305,0.0,0.88092,0.997867,,
Etth2ForecastDataset,adaptive_became_etth2_n2_s42,2,forecast/mse,1,0.962136,0.0,0.01142,0.0,1.06601,0.968294,,
Etth2ForecastDataset,adaptive_became_etth2_n2_s7,2,forecast/mse,1,0.544131,0.0,-0.000543,0.0,0.952716,0.968055,,
Etth2ForecastDataset,adaptive_became_etth2_n3_s123,3,forecast/mse,1,0.804754,0.0,-0.008685,0.0,0.975416,1.145817,,
Etth2ForecastDataset,adaptive_became_etth2_n3_s42,3,forecast/mse,1,1.058032,0.0,-0.006617,0.0,0.925122,1.241797,,
Etth2ForecastDataset,adaptive_became_etth2_n3_s7,3,forecast/mse,1,0.701158,0.0,-0.005394,0.0,0.730232,1.207311,,
Etth2ForecastDataset,adaptive_became_etth2_n5_s123,5,forecast/mse,1,0.446735,0.0,-0.000708,0.0,0.585658,1.161263,,
Etth2ForecastDataset,adaptive_became_etth2_n5_s42,5,forecast/mse,1,0.625025,0.0,-0.000962,0.0,0.619013,1.123146,,
Etth2ForecastDataset,adaptive_became_etth2_n5_s7,5,forecast/mse,1,0.454048,0.0,-0.001095,0.0,0.549525,1.035552,,
Ettm2ForecastDataset,adaptive_became_ettm2_n2_s123,2,forecast/mse,1,0.372151,0.0,-0.000166,0.0,1.070267,0.591799,,
Ettm2ForecastDataset,adaptive_became_ettm2_n2_s42,2,forecast/mse,1,0.428523,0.0,-0.001813,0.0,1.054219,0.589645,,
Ettm2ForecastDataset,adaptive_became_ettm2_n2_s7,2,forecast/mse,1,0.405707,0.0,-0.001026,0.0,0.870013,0.611279,,
Ettm2ForecastDataset,adaptive_became_ettm2_n3_s123,3,forecast/mse,1,0.344204,0.0,-0.00028,0.0,0.720169,0.759915,,
Ettm2ForecastDataset,adaptive_became_ettm2_n3_s42,3,forecast/mse,1,0.450903,0.0,-0.00499,0.0,0.871992,0.639455,,
Ettm2ForecastDataset,adaptive_became_ettm2_n3_s7,3,forecast/mse,1,0.382352,0.0,-0.002812,0.0,0.604338,0.655859,,
Ettm2ForecastDataset,adaptive_became_ettm2_n5_s123,5,forecast/mse,1,0.488948,0.0,-0.003521,0.0,1.060895,0.953448,,
Ettm2ForecastDataset,adaptive_became_ettm2_n5_s42,5,forecast/mse,1,0.582346,0.0,-0.001657,0.0,1.328775,1.161239,,
Ettm2ForecastDataset,adaptive_became_ettm2_n5_s7,5,forecast/mse,1,0.499594,0.0,-0.001978,0.0,0.869725,1.001068,,
ExchangeRateForecastDataset,adaptive_became_exchange_n3_s123,3,forecast/mse,1,0.250093,0.0,-0.022513,0.0,0.399656,0.692509,,
ExchangeRateForecastDataset,adaptive_became_exchange_n3_s42,3,forecast/mse,1,0.349194,0.0,-0.038156,0.0,0.47238,0.788615,,
ExchangeRateForecastDataset,adaptive_became_exchange_n3_s7,3,forecast/mse,1,0.232998,0.0,-0.023717,0.0,0.359519,0.685106,,
PsmForecastDataset,adfc2_psm_sequential_n2,2,forecast/mse,3,0.280298,0.022297,0.108655,0.036903,0.574124,1.281546,,
PsmForecastDataset,adfc2_psm_sequential_n3,3,forecast/mse,3,0.478906,0.01152,-0.011936,0.006135,0.585592,1.287241,,
PsmForecastDataset,adfc2_psm_sequential_n5,5,forecast/mse,3,0.29942,0.04024,0.134126,0.050401,0.714209,1.405859,,
SwatForecastDataset,adfc2_swat_sequential_n2,2,forecast/mse,3,0.024258,0.001507,0.002,0.00086,0.231043,1.010461,,
SwatForecastDataset,adfc2_swat_sequential_n3,3,forecast/mse,3,0.019901,0.001954,0.004045,0.000905,0.359508,1.71912,,
SwatForecastDataset,adfc2_swat_sequential_n5,5,forecast/mse,3,0.023599,0.001107,0.005477,0.001103,0.358213,2.167895,,
PsmForecastDataset,adfc_psm_sequential,3,forecast/mse,3,0.478906,0.01152,-0.011936,0.006135,0.585592,1.287241,,
SwatForecastDataset,adfc_swat_sequential,3,forecast/mse,3,0.018704,0.000559,0.004436,0.000394,0.320753,1.618742,,
EtthForecastDataset,continual_etth,3,forecast/mse,3,0.318834,0.019083,-0.038784,0.007051,0.560333,1.110449,,
Etth2ForecastDataset,etth2_continual_n2,2,forecast/mse,3,0.341931,0.088094,0.318006,0.163315,1.31658,1.250262,1.4539,routing_report:etth2_merge_n2_diagnostics
Etth2ForecastDataset,etth2_continual_n3,3,forecast/mse,3,0.226076,0.031186,0.104708,0.04807,0.421428,1.146168,1.736,routing_report:etth2_merge_n3_diagnostics
Etth2ForecastDataset,etth2_continual_n5,5,forecast/mse,3,0.209864,0.011575,0.045856,0.016295,0.288285,1.185884,2.0643,routing_report:etth2_merge_n5_diagnostics
Ettm2ForecastDataset,ettm2_continual_n2,2,forecast/mse,3,0.143329,0.010748,0.099933,0.012751,0.91392,0.794437,1.8254,routing_report:ettm2_merge_n2_diagnostics
Ettm2ForecastDataset,ettm2_continual_n3,3,forecast/mse,3,0.113221,0.014551,0.043693,0.022076,0.287232,0.886207,1.4933,routing_report:ettm2_merge_n3_diagnostics
Ettm2ForecastDataset,ettm2_continual_n5,5,forecast/mse,3,0.161495,0.015686,0.105654,0.019832,0.395457,1.34207,1.6985,routing_report:ettm2_merge_n5_diagnostics
ExchangeRateForecastDataset,exch_continual,3,forecast/mse,3,0.102366,0.010912,0.041395,0.019704,0.474457,0.846496,,
EtthForecastDataset,fisherfix_etth1_n3_s123,3,forecast/mse,1,0.37505,0.0,-0.125714,0.0,0.562077,0.953975,,
EtthForecastDataset,fisherfix_etth1_n3_s42,3,forecast/mse,1,0.353925,0.0,-0.070352,0.0,0.616645,0.891445,,
EtthForecastDataset,fisherfix_etth1_n3_s7,3,forecast/mse,1,0.347223,0.0,-0.078513,0.0,0.666362,0.978617,,
Etth2ForecastDataset,fisherfix_etth2_n2_s123,2,forecast/mse,1,0.526749,0.0,-0.003483,0.0,0.84965,0.991917,,
Etth2ForecastDataset,fisherfix_etth2_n2_s42,2,forecast/mse,1,0.873885,0.0,0.004446,0.0,0.982955,0.915927,,
Etth2ForecastDataset,fisherfix_etth2_n2_s7,2,forecast/mse,1,0.507716,0.0,-0.005174,0.0,0.904005,0.963575,,
Etth2ForecastDataset,fisherfix_etth2_n3_s123,3,forecast/mse,1,0.669184,0.0,-0.055093,0.0,0.829357,1.075217,,
Etth2ForecastDataset,fisherfix_etth2_n3_s42,3,forecast/mse,1,0.830813,0.0,-0.089509,0.0,0.739298,1.095979,,
Etth2ForecastDataset,fisherfix_etth2_n3_s7,3,forecast/mse,1,0.581152,0.0,-0.041596,0.0,0.614791,1.109955,,
Etth2ForecastDataset,fisherfix_etth2_n5_s123,5,forecast/mse,1,0.404064,0.0,-0.018918,0.0,0.530487,1.167234,,
Etth2ForecastDataset,fisherfix_etth2_n5_s42,5,forecast/mse,1,0.566165,0.0,-0.032928,0.0,0.560961,1.117427,,
Etth2ForecastDataset,fisherfix_etth2_n5_s7,5,forecast/mse,1,0.416006,0.0,-0.020444,0.0,0.504267,1.036259,,
Ettm2ForecastDataset,fisherfix_ettm2_n2_s123,2,forecast/mse,1,0.343317,0.0,0.000269,0.0,1.017503,0.595974,,
Ettm2ForecastDataset,fisherfix_ettm2_n2_s42,2,forecast/mse,1,0.388738,0.0,-0.002626,0.0,0.960236,0.549236,,
Ettm2ForecastDataset,fisherfix_ettm2_n2_s7,2,forecast/mse,1,0.360971,0.0,-0.001776,0.0,0.795604,0.588803,,
Ettm2ForecastDataset,fisherfix_ettm2_n3_s123,3,forecast/mse,1,0.351045,0.0,-0.029683,0.0,0.72032,0.570782,,
Ettm2ForecastDataset,fisherfix_ettm2_n3_s42,3,forecast/mse,1,0.374945,0.0,-0.037316,0.0,0.725255,0.581421,,
Ettm2ForecastDataset,fisherfix_ettm2_n3_s7,3,forecast/mse,1,0.360169,0.0,-0.03788,0.0,0.559663,0.577392,,
Ettm2ForecastDataset,fisherfix_ettm2_n5_s123,5,forecast/mse,1,0.389487,0.0,-0.024153,0.0,0.849118,0.852778,,
Ettm2ForecastDataset,fisherfix_ettm2_n5_s42,5,forecast/mse,1,0.444331,0.0,-0.024647,0.0,1.016788,0.970872,,
Ettm2ForecastDataset,fisherfix_ettm2_n5_s7,5,forecast/mse,1,0.398685,0.0,-0.027419,0.0,0.698658,0.907164,,
ExchangeRateForecastDataset,fisherfix_exchange_n3_s123,3,forecast/mse,1,0.212902,0.0,-0.022723,0.0,0.366277,0.680542,,
ExchangeRateForecastDataset,fisherfix_exchange_n3_s42,3,forecast/mse,1,0.22949,0.0,-0.040948,0.0,0.335837,0.707732,,
ExchangeRateForecastDataset,fisherfix_exchange_n3_s7,3,forecast/mse,1,0.210872,0.0,-0.028183,0.0,0.341878,0.698369,,
ExchangeRateForecastDataset,fullfisher_exchange_n3_s123,3,forecast/mse,1,0.213262,0.0,-0.023661,0.0,0.369336,0.683608,,
ExchangeRateForecastDataset,fullfisher_exchange_n3_s42,3,forecast/mse,1,0.228733,0.0,-0.042562,0.0,0.336089,0.72329,,
ExchangeRateForecastDataset,fullfisher_exchange_n3_s7,3,forecast/mse,1,0.204191,0.0,-0.027436,0.0,0.337155,0.696475,,
Etth2ForecastDataset,gate_adaptive_became,2,forecast/mse,1,0.552392,0.0,-0.000305,0.0,0.880911,0.997868,,
Etth2ForecastDataset,gate_adaptive_fixed1,2,forecast/mse,1,0.287153,0.0,0.216433,0.0,1.034831,1.025331,,
Etth2ForecastDataset,gate_adaptive_none,2,forecast/mse,1,0.287153,0.0,0.216433,0.0,1.034831,1.025331,,
ExchangeRateForecastDataset,gate_fullfisher_smoke_s42,3,forecast/mse,1,0.232002,0.0,-0.042253,0.0,0.339198,0.712875,,
Etth2ForecastDataset,lamgrid_010_etth2_n3_s123,3,forecast/mse,1,0.491523,0.0,-0.113419,0.0,0.657111,0.946373,,
Etth2ForecastDataset,lamgrid_010_etth2_n3_s42,3,forecast/mse,1,0.672414,0.0,-0.119718,0.0,0.677597,0.945982,,
Etth2ForecastDataset,lamgrid_010_etth2_n3_s7,3,forecast/mse,1,0.602242,0.0,-0.100127,0.0,0.694412,0.94937,,
Ettm2ForecastDataset,lamgrid_010_ettm2_n3_s123,3,forecast/mse,1,0.260751,0.0,-0.066998,0.0,0.586745,0.916396,,
Ettm2ForecastDataset,lamgrid_010_ettm2_n3_s42,3,forecast/mse,1,0.269063,0.0,-0.056997,0.0,0.610502,0.920051,,
